[System] Initialized kmsg stream.
[IDT] Initializing IDT
[IDT] Setting IDT gate for interrupt 0. Base: 2147499954, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 1. Base: 2147499961, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 2. Base: 2147499968, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 3. Base: 2147499975, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 4. Base: 2147499982, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 5. Base: 2147499989, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 6. Base: 2147499996, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 7. Base: 2147500003, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 8. Base: 2147500010, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 9. Base: 2147500015, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 10. Base: 2147500022, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 11. Base: 2147500030, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 12. Base: 2147500038, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 13. Base: 2147500046, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 14. Base: 2147500054, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 15. Base: 2147500062, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 16. Base: 2147500072, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 17. Base: 2147500082, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 18. Base: 2147500090, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 19. Base: 2147500100, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 20. Base: 2147500110, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 21. Base: 2147500120, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 22. Base: 2147500130, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 23. Base: 2147500140, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 24. Base: 2147500150, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 25. Base: 2147500160, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 26. Base: 2147500170, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 27. Base: 2147500180, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 28. Base: 2147500190, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 29. Base: 2147500200, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 30. Base: 2147500210, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 31. Base: 2147500218, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 32. Base: 2147500228, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 33. Base: 2147500238, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 34. Base: 2147500248, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 35. Base: 2147500258, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 36. Base: 2147500268, Sel: 40, Flags: 142
